DN,objectClass,sAMAccountName,sn,givenName,userPrincipalNAme,company,userAccountControl
"cn=Blart Versenwald,ou=boys,ou=airport,dc=gyakorlat,dc=local",user,bversenwald,Blart,Versenwald,bversenw­ald@gyakorlat.local,"RepterHungary, Kft",8389152
"cn=Emily Saunders,ou=girls,ou=airport,dc=gyakorlat,dc=local",user,esaunders,Emily,Saunders,esaunders@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Nikita Argrow,ou=girls,ou=airport,dc=gyakorlat,DC=local",user,nikita,Argrow,Nikita,nikita@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Arnold Harteveld,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,arnold,Harteveld,Arnold,arnold@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Terri Chudzik,ou=girls,ou=airport,dc=gyakorlat,DC=local",user,terri,Chudzik,Terri,terri@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Andrea Dunker,ou=girls,ou=airport,dc=gyakorlat,DC=local",user,andrea,Dunker,Andrea,andrea@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Ryan Ichtig,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,ryan,Ichig,Ryan,ryan@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Chistine Koch,ou=girls,ou=airport,dc=gyakorlat,DC=local",user,chistine,Koch,Chistine,chistine@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Ed Meadows,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,ed,Meadows,Ed,ed@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Candy Spoon,ou=girls,ou=airport,dc=gyakorlat,DC=local",user,candy,Spoon,Candy,candy@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Kern Sutton,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,kern,Sutton,Kern,kern@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Charlotte Weiss,ou=girls,ou=airport,dc=gyakorlat,DC=local",user,charlotte,Weiss,Charlotte,charlotte@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Martin Berka,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,martin,Berka,Martin,martin@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Adam Carter,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,adam,Carter,Adam,adam@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Sten Faerch,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,sten,Faerch,Sten,sten@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Pedro Gutierrez,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,pedro,Gutierrez,Pedro,pedro@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Vicky Krishnan,ou=girls,ou=airport,dc=gyakorlat,DC=local",user,vicky,Krishnan,Vicky,vicky@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Spencer Low,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,spencer,Low,Spencer,spencer@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Tete Mensa-Annan,ou=girls,ou=airport,dc=gyakorlat,DC=local",user,tete,Mensa-Annan,Tete,tete@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Don Roessler,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,don,Roessler,Don,don@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Arthur Yasinski,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,arthur,Yasinski,Arthur,arthur@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Michael Alexander,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,michael,Alexander,Michael,michael@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Scott Bishop,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,scott,Bishop,Scott,scott@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Mathew Charles,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,mathew,Charles,Mathew,mathew@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Neil Charney,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,neil,Charney,Neil,neil@gyakorlat.local,"RepterHungary, Kft",8389152
"CN=Bart Duncan,ou=boys,ou=airport,dc=gyakorlat,DC=local",user,bart,Duncan,Bart,bart@gyakorlat.local,"RepterHungary, Kft",8389152
